student_id,gender,major,admission_type,gpa_year1,gpa_year2,gpa_year3,gpa_year4,total_cumulative_gpa,total_credits_required,failed_courses,academic_warnings,attendance_rate,assignment_submission_rate,extra_activities,financial_state,graduate_on_time,graduate_year,achieved_scholarship
S00001,Male,Multimedia Communication,EntranceExam,2.19,2.52,2.98,3.24,2.73,125,1,0,0.89,0.8,2,Average,1,4,0
S00002,Female,Information Technology,DirectAdmission,3.2,3.02,3.15,2.98,3.09,130,0,0,0.92,0.96,4,Stable,1,4,0
S00003,Female,Computer Science,EntranceExam,3.59,3.52,3.58,3.56,3.56,130,0,0,0.83,0.95,1,Stable,1,4,0
S00004,Male,Artificial Intelligence,EntranceExam,2.25,2.6,2.25,2.58,2.42,130,0,0,0.83,0.72,0,Stable,0,5,0
S00005,Male,Information Technology,EntranceExam,2.11,1.85,1.59,2,1.89,130,8,1,0.86,0.88,0,Difficult,0,6,0
S00006,Male,E-commerce,EntranceExam,3.71,3.98,4,3.67,3.84,125,1,1,0.86,0.99,1,Stable,1,4,1
S00007,Female,Multimedia Communication,EntranceExam,3.09,2.94,2.74,3.32,3.02,125,0,0,0.89,0.81,2,Average,1,4,0
S00008,Female,E-commerce,EntranceExam,1.92,2.24,2.12,2.15,2.11,125,7,0,0.85,0.84,1,Stable,0,6,0
S00009,Female,Multimedia Technology,EntranceExam,1.7,1.69,2.03,2.03,1.86,125,4,0,0.84,0.74,2,Stable,0,6,1
S00010,Female,Artificial Intelligence,EntranceExam,2.23,2.78,2.61,2.52,2.53,130,3,0,0.59,0.5,2,Average,0,8,1
S00011,Male,Multimedia Technology,EntranceExam,2.78,2.48,3.16,2.47,2.72,125,2,1,0.88,0.87,1,Average,0,5,0
S00012,Female,Artificial Intelligence,EntranceExam,2.05,2.5,2.89,2.17,2.4,130,1,0,1,0.99,3,Stable,1,4,1
S00013,Male,Multimedia Communication,EntranceExam,2.95,2.3,2.6,1.95,2.45,125,1,0,0.83,0.98,1,Stable,1,4,0
S00014,Female,Artificial Intelligence,EntranceExam,2.49,2.81,2.41,2.27,2.5,130,3,0,0.84,0.83,2,Average,0,6,1
S00015,Male,Multimedia Technology,EntranceExam,2.37,2.86,3.34,3.33,2.98,125,0,0,0.99,0.81,1,Stable,1,4,0
S00016,Male,Financial Technology (Fintech),EntranceExam,1.99,1.74,1.76,2.36,1.96,130,8,0,0.69,0.76,3,Difficult,0,7,0
S00017,Female,Information Security,EntranceExam,1.92,1.78,1.77,1.76,1.81,130,5,0,1,0.97,2,Difficult,0,8,1
S00018,Female,Accounting,EntranceExam,2.3,2.05,2.16,2.36,2.22,130,5,0,0.85,0.85,1,Stable,0,5,1
S00019,Male,Accounting,DirectAdmission,2.29,2.68,2.28,2.91,2.54,130,0,0,0.81,0.86,2,Average,1,4,0
S00020,Male,E-commerce,EntranceExam,1.96,2.24,2.8,2.84,2.46,125,0,0,0.93,0.9,2,Stable,1,4,0
S00021,Female,Artificial Intelligence,DirectAdmission,1.96,1.87,2.43,1.7,1.99,130,1,0,0.83,0.84,1,Average,0,6,1
S00022,Female,E-commerce,DirectAdmission,2.02,1.78,1.86,1.57,1.81,125,6,0,0.87,0.91,1,Average,0,7,1
S00023,Male,Multimedia Communication,EntranceExam,3.67,3.06,3.18,3.36,3.32,125,0,0,0.83,0.67,1,Average,1,4,1
S00024,Male,Multimedia Communication,EntranceExam,2.39,2.42,2.14,2.26,2.3,125,3,0,0.81,0.72,0,Average,0,5,0
S00025,Female,Marketing,EntranceExam,1.3,2.09,2.27,1.64,1.82,120,5,1,0.71,0.84,1,Stable,0,8,1
S00026,Female,Game Design and Development,DirectAdmission,3.01,3.58,3.71,3.29,3.4,140,0,1,0.83,0.86,7,Stable,1,4,0
S00027,Male,Artificial Intelligence,EntranceExam,2.64,2.27,2.18,1.94,2.26,130,0,0,1,0.87,2,Stable,1,4,0
S00028,Female,Computer Science,DirectAdmission,2.64,2.86,2.38,2,2.47,130,0,0,0.91,1,2,Stable,1,4,0
S00029,Male,E-commerce,EntranceExam,2.9,2.58,2.89,2.71,2.77,125,2,0,0.82,0.96,2,Difficult,0,7,0
S00030,Male,Artificial Intelligence,EntranceExam,2.62,2.93,3.15,3.2,2.98,130,0,0,0.89,0.83,4,Average,1,4,0
S00031,Male,Accounting,EntranceExam,2.22,2.24,2.42,2.12,2.25,130,0,0,0.72,0.73,0,Average,0,5,0
S00032,Female,Financial Technology (Fintech),EntranceExam,2.88,2.91,2.67,2.65,2.78,130,1,0,0.95,0.82,0,Average,1,4,1
S00033,Female,Artificial Intelligence,EntranceExam,1.67,2.51,2.42,2.47,2.27,130,8,0,0.92,0.99,0,Difficult,0,5,0
S00034,Female,Information Technology,EntranceExam,2.71,2.47,2.97,2.63,2.7,130,1,0,0.96,0.84,0,Stable,1,4,1
S00035,Male,Computer Science,EntranceExam,1.81,1.8,1.68,1.56,1.71,130,7,0,0.85,0.89,1,Average,0,6,0
S00036,Male,Multimedia Technology,DirectAdmission,2.53,2.91,2.49,2.06,2.5,125,2,0,0.96,0.83,2,Average,1,4,0
S00037,Male,Computer Science,DirectAdmission,1.73,1.38,1.32,1.26,1.42,130,7,0,0.68,0.86,2,Average,0,5,0
S00038,Female,Multimedia Communication,EntranceExam,2.27,2.23,2.31,2.48,2.32,125,0,0,0.89,0.83,4,Stable,1,4,1
S00039,Female,Information Technology,EntranceExam,1.92,2.02,2.34,2.05,2.08,130,8,0,0.81,0.85,0,Stable,0,6,1
S00040,Male,Business Administration,EntranceExam,2.58,2.48,2.22,2.39,2.42,120,0,0,0.96,0.79,3,Stable,1,4,0
S00041,Female,Information Technology,DirectAdmission,3.17,2.57,2.87,2.14,2.69,130,0,0,0.95,0.82,3,Stable,1,4,1
S00042,Female,Multimedia Communication,EntranceExam,1.95,2.4,2.54,2.15,2.26,125,2,0,0.8,0.9,1,Stable,0,7,0
S00043,Female,Financial Technology (Fintech),EntranceExam,2.62,2.61,2.95,2.94,2.78,130,0,0,0.95,0.8,4,Stable,1,4,1
S00044,Female,Game Design and Development,EntranceExam,3.23,2.98,3.3,2.86,3.09,140,1,0,0.8,0.72,1,Stable,1,4,1
S00045,Female,Information Technology,EntranceExam,1.18,2.17,1.73,1.94,1.76,130,11,0,0.83,0.75,1,Stable,0,5,0
S00046,Female,Game Design and Development,EntranceExam,2.21,2.78,2.49,2.57,2.51,140,0,0,0.84,0.86,2,Average,1,4,1
S00047,Male,Accounting,EntranceExam,3.3,3.03,3.29,3.19,3.2,130,0,0,0.88,0.94,1,Stable,1,4,1
S00048,Male,Automation,DirectAdmission,3.53,3.46,3.81,3.52,3.58,140,0,1,0.85,0.77,0,Average,1,4,1
S00049,Male,Game Design and Development,DirectAdmission,3.06,3.31,3,3.09,3.12,140,1,0,0.9,0.94,2,Stable,1,4,1
