id,gender,major,admission_type,admission_group,admission_score,credits_sem5,credits_sem6,credits_sem7,credits_sem8,failed_sem5,failed_sem6,failed_sem7,failed_sem8,warn_sem5,warn_sem6,warn_sem7,warn_sem8,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,gpa_sem6,gpa_sem7,gpa_sem8,target
SV00001,Nam,An toàn thông tin,THPT,A00,26.53,71,84,97,98,0,0,0,0,0,0,0,0,3.11,2.87,3.08,3.34,2.87,2.56,2.61,0,1
SV00002,Nữ,Công nghệ đa phương tiện,THPT,X26,24.98,69,84,99,100,0,0,0,0,0,0,0,0,2.83,2.63,2.87,3.09,3.13,3.43,3.56,0,0
SV00003,Nữ,Kế toán CLC,THPT,A01,25.99,70,84,99,100,0,0,0,0,0,0,0,0,3.12,2.9,3.14,3.15,3.12,2.97,3.3,0,1
SV00004,Nam,Logistics và quản trị chuỗi cung ứng,ĐGTD,A01,19.7,66,80,95,96,0,0,0,0,0,0,0,0,2.45,2.38,2.53,2.64,2.76,2.89,3.45,0,0
SV00005,Nam,Logistics và quản trị chuỗi cung ứng,THPT,X26,25.05,67,81,94,95,0,0,0,0,0,0,0,0,2.66,2.47,2.65,2.95,2.94,2.75,2.56,0,0
SV00006,Nam,Kỹ thuật điện tử viễn thông,THPT,A00,26.54,75,90,105,106,0,0,0,0,0,0,0,0,3.27,3.42,3.28,3.35,3.4,3.48,3.72,0,1
SV00007,Nữ,An toàn thông tin,THPT,X26,27.44,74,88,102,103,0,0,0,0,0,0,0,0,3.27,3.31,3.4,3.58,3.23,3.17,3.08,0,1
SV00008,Nữ,Truyền thông đa phương tiện,Xét tuyển thẳng,X26,0,48,58,68,70,0,0,0,0,0,0,0,0,1.59,1.98,1.78,2.05,1.77,1.88,1.94,0.3,0
SV00009,Nam,Công nghệ thông tin,THPT,A01,27.93,73,88,102,103,0,0,0,0,0,0,0,0,3.17,3.39,3.32,3.23,3.46,3.43,3.13,0,0
SV00010,Nam,An toàn thông tin,THPT,X06,27.39,70,84,99,100,0,0,0,0,0,0,0,0,2.71,2.85,2.91,3.1,3.02,3.08,3.25,0,1
SV00011,Nam,Marketing CLC,THPT,A01,24.98,69,82,95,96,0,0,0,0,0,0,0,0,3.12,2.97,2.9,2.83,2.55,2.69,2.59,0,1
SV00012,Nữ,Báo chí,THPT,A00,24.34,68,82,95,97,0,0,0,0,0,0,0,0,2.54,2.67,2.86,2.86,2.77,2.77,2.61,0.3,0
SV00013,Nam,Công nghệ đa phương tiện,ĐGTD,X06,19.93,55,67,79,80,0,0,0,0,0,0,0,0,2.26,2.04,2.16,1.95,1.87,2.22,2.15,0,1
SV00014,Nữ,Công nghệ đa phương tiện,ĐGNL,A00,20.19,36,42,48,50,2,2,3,3,0,0,0,0,1.62,1.59,1.37,1.19,1.54,1.37,1.56,0.42,0
SV00015,Nam,Truyền thông đa phương tiện,THPT,A00,25.91,60,72,85,86,0,0,0,0,0,0,0,2,2.42,2.08,2.12,2,2.08,2.11,2.53,0,1
SV00016,Nam,"Kỹ thuật điện, điện tử",ĐGTD,A00,19.82,67,81,96,97,0,0,0,0,0,0,0,0,2.37,2.43,2.51,2.87,3.09,3.2,3.59,0,1
SV00017,Nữ,Marketing CLC,THPT,A00,23.99,64,76,86,87,0,0,0,0,0,0,0,0,2.71,2.49,2.42,2.09,2.27,2.24,1.89,0,1
SV00018,Nam,An toàn thông tin CLC,ĐGTD,X26,20.16,73,88,103,104,0,0,0,0,0,0,0,0,2.84,3.07,3.59,4,4,3.77,3.26,0,1
SV00019,Nam,Kỹ thuật điện tử viễn thông,THPT,X06,27.33,67,81,95,96,0,0,0,0,0,0,0,0,2.75,2.66,2.53,2.51,2.8,2.86,2.84,0,1
SV00020,Nữ,Marketing,THPT,X26,25.2,38,48,58,60,2,2,2,2,0,0,0,0,1.59,1.49,1.38,1.72,1.89,2.28,2.29,0.18,0
SV00021,Nữ,Marketing CLC,ĐGTD,X06,19.62,59,72,86,88,0,0,0,0,0,0,0,0,2.03,1.87,2.43,2.24,2.59,2.5,2.82,0.3,0
SV00022,Nữ,Công nghệ thông tin UDU,ĐGTD,A01,20.32,65,77,88,89,0,0,0,0,0,0,0,0,2.68,2.69,2.55,2.68,2.59,2.3,2,0,1
SV00023,Nữ,Công nghệ thông tin,ĐGNL,X26,20.99,71,86,101,103,0,0,0,0,0,0,0,0,2.97,3.03,3.02,3.11,3.45,3.53,3.45,0.12,0
SV00024,Nam,Khoa học máy tính,ĐGNL,X06,20.56,72,86,101,102,0,0,0,0,0,0,0,0,2.9,3.3,3.37,3.08,2.76,3.19,3.64,0,1
SV00025,Nam,"Kỹ thuật điện, điện tử",ĐGTD,X26,21.14,66,79,92,93,0,0,0,0,0,0,0,0,2.5,2.89,2.63,2.43,2.61,2.53,2.55,0,0
SV00026,Nữ,Kế toán CLC,ĐGNL,X06,20.23,69,83,96,98,0,0,0,0,0,0,0,0,2.64,3.01,3.05,3.23,2.74,2.75,2.68,0.24,1
SV00027,Nam,Logistics và quản trị chuỗi cung ứng,THPT,X26,25.35,63,75,87,89,0,0,0,0,0,0,0,0,2.44,2.38,2.63,2.32,2.34,2.24,2.3,0.24,1
SV00028,Nam,"Kỹ thuật điện, điện tử",THPT,A01,26.17,74,89,104,105,0,0,0,0,0,0,0,0,3.18,3.54,3.52,3.37,3.33,3.41,3.47,0,1
SV00029,Nữ,Marketing CLC,ĐGNL,X06,20.16,70,85,99,101,0,0,0,0,0,0,0,0,2.42,2.5,3.15,3.64,3.44,3.39,3.05,0.12,0
SV00030,Nam,Logistics và quản trị chuỗi cung ứng,THPT,D01,26.03,71,84,96,97,0,0,0,0,0,0,0,0,3.1,3.42,3.26,3.12,2.6,2.58,2.33,0,1
SV00031,Nam,Marketing,ĐGTD,X26,19.53,50,57,64,65,1,1,1,2,0,0,0,0,2.19,2.19,1.77,1.42,1.85,1.55,1.42,0,1
SV00032,Nữ,Công nghệ thông tin CLC,THPT,A01,27.03,75,90,105,106,0,0,0,0,0,0,0,0,3.6,3.32,3.25,3.36,3.81,3.58,3.54,0,1
SV00033,Nam,An toàn thông tin,THPT,A01,26.85,70,83,97,98,0,0,0,0,0,0,0,0,3.17,3.09,3.08,2.76,2.72,2.67,2.75,0,1
SV00034,Nữ,Marketing CLC,THPT,D01,22.8,74,89,104,105,0,0,0,0,0,0,0,0,3.06,3.33,3.39,3.5,3.53,3.55,3.39,0,1
SV00035,Nam,Kỹ thuật điện tử viễn thông,ĐGTD,X06,20.42,74,89,104,105,0,0,0,0,0,0,0,0,2.71,3.25,3.67,3.78,3.61,3.35,3.67,0,1
SV00036,Nam,An toàn thông tin,THPT,X06,24.59,52,64,76,78,0,0,0,0,0,0,0,0,2.11,1.69,1.95,2.08,1.82,2.02,2.11,0.3,0
SV00037,Nữ,Kỹ thuật điện tử viễn thông,ĐGTD,X26,19.8,62,74,86,88,0,0,0,0,0,0,0,0,2.28,2.27,2.23,2.29,2.79,2.29,2.31,0.3,0
SV00038,Nam,"Kỹ thuật điện, điện tử",THPT,A01,26.02,68,82,96,97,0,0,0,0,0,0,0,0,3.09,3.02,2.6,2.7,3.16,2.79,3.03,0,1
SV00039,Nữ,Công nghệ thông tin CLC,THPT,X06,27.58,68,83,98,99,0,0,0,0,0,0,0,0,2.89,2.65,2.58,2.93,3.09,3.55,3.86,0,0
SV00040,Nữ,Kế toán CLC,ĐGTD,X26,19.83,74,89,104,105,0,0,0,0,0,0,0,0,3.21,3.34,3.57,3.51,3.55,3.39,3.66,0,0
SV00041,Nam,An toàn thông tin CLC,THPT,X26,28.17,72,87,102,103,0,0,0,0,0,0,0,0,2.89,2.86,3.17,3.38,3.86,4,3.63,0,1
SV00042,Nam,Công nghệ đa phương tiện,ĐGTD,A00,20.72,64,77,90,91,0,0,0,0,0,0,0,0,2.34,2.23,2.63,2.81,2.65,2.42,2.45,0,1
SV00043,Nam,Truyền thông đa phương tiện,THPT,A01,24.48,71,85,99,100,0,0,0,0,0,0,0,0,2.71,2.81,3.12,3.29,2.74,2.83,2.87,0,1
SV00044,Nam,Công nghệ thông tin UDU,THPT,X06,26.69,71,85,100,101,0,0,0,0,0,0,0,0,3.58,3.08,2.95,3.12,2.75,3.13,3.25,0,1
SV00045,Nam,An toàn thông tin,THPT,A01,26.5,71,86,101,102,0,0,0,0,0,0,0,0,2.68,2.9,3.19,3.27,3.35,3.43,3.24,0,0
SV00046,Nữ,Báo chí,ĐGTD,D01,20.87,67,81,95,97,0,0,0,0,0,0,0,0,2.48,2.6,2.87,2.62,2.73,3.12,2.96,0.24,1
SV00047,Nam,Marketing,THPT,A01,24.26,72,87,102,103,0,0,0,0,0,0,0,0,2.79,3.02,3.04,3.39,3.63,3.86,4,0,1
SV00048,Nữ,Khoa học máy tính,THPT,X06,26.69,69,83,97,98,0,0,0,0,0,0,0,0,2.94,2.46,2.88,2.78,2.83,3.18,2.8,0,1
SV00049,Nam,Truyền thông đa phương tiện,ĐGNL,A00,20.76,60,72,80,81,0,0,0,1,0,0,0,0,2.19,2.01,2.14,2.29,2.38,2.05,1.49,0,1
SV00050,Nữ,"Kỹ thuật điện, điện tử",Xét tuyển thẳng,A00,0,59,72,86,87,0,0,0,0,0,0,0,0,1.96,2.09,2.29,2.34,2.55,2.63,2.78,0,0
SV00051,Nam,Công nghệ đa phương tiện,ĐGTD,X26,19.5,69,83,97,98,0,0,0,0,0,0,0,0,2.65,2.72,2.95,2.87,3.02,2.97,2.96,0,1
SV00052,Nam,Công nghệ thông tin,ĐGTD,X06,20.79,22,23,24,25,5,7,9,11,0,0,0,0,1.71,1.41,0.94,0.13,0,0.13,0.08,0,0
